SR_NO,EXERCISE_NAME,CALORIES_PR_MIN,TOTAL_SET,REPETITIONS
1,Bodyweight Bridge,8,4,12
2,Bodyweight Single Leg Deadlift,20,4,12
3,Bodyweight Y Squats,8,4,10
4,Bodyweight Forward Lunge,6,4,12
5,Bodyweight Lateral Squat,8,4,12
6,Bodyweight Shoulder Taps,10,4,12
7,Bodyweight Static Lunge,6,4,12
8,Bodyweight Bird Dog,5,4,12
9,Bodyweight Back Extensions,5,4,12
10,Bodyweight Yoga Squat,8,4,12
11,Bodyweight Bob &amp; Weave,7,4,12
12,Bodyweight Elbow to Knee,9,4,12
13,Bodyweight Belly Breaths,6,4,12
14,Bodyweight Cossacks,8,4,12
15,Bodyweight Hip Openers,8,4,12
16,Bodyweight Wall Slides,5,4,12
17,Bodyweight Fast Mountain Climbers,10,4,12
18,Bodyweight Side Plank with Rotation,12,4,12
19,Bodyweight Push Ups,9,4,12
20,Bodyweight Side Lunge with a Reach,10,4,12
21,Bodyweight Slow Mountain Climbers,4,4,12
22,Bodyweight Scissors,3,4,12
23,Bodyweight Side Shuffles,2,4,12
24,Bodyweight High Knees,8,4,12
25,Bodyweight Cross Overs,3,4,12
26,Bodyweight Dead Bug,3,4,12
27,Bodyweight Bird Dog with Rotation,8,4,12
28,Bodyweight Side Plank,5,4,12
29,Bodyweight Double Lunge with Reach,12,4,12
30,Bodyweight Cross Body Mountain Climbers,10,4,12
31,Bodyweight Single Leg Deadlift with Overhead Reach,12,4,12
32,Bodyweight Squat Thrusts,8,4,12
33,Bodyweight Dive Bomber Push Ups,10,4,12
34,Bodyweight Jump Squats,6,4,12
35,Bodyweight Plank to Push Up,9,4,12
36,Bodyweight Single Leg Up and Down Dogs,10,4,12
37,Bodyweight Figure 4 Mountain Climbers,5,4,12
38,Bodyweight T Push Ups,10,4,12
39,Bodyweight Reverse Lunge with Lateral Reach,8,4,12
40,Bodyweight Breakdancer Push Ups,8,4,12
41,Bodyweight Reverse Lunge and Hop,8,4,12
42,Bodyweight Skaters,8,4,12
43,Bodyweight Reverse Diagonal Lunge with Reach,8,4,12
44,Bodyweight Squat Thrusts,6,4,12
45,Bodyweight Cross Body Extension,8,4,12
46,Bodyweight Jumping Lunges,8,4,12
47,Bodyweight Kangaroos,8,4,12
48,Bodyweight Single Leg Burpee,8,4,12
49,Bodyweight Mountain Climber Push Ups,8,4,12
50,Bodyweight Dirty Dogs,8,4,12
